stvr,pval,animal,group,unit,pps,deaf_dur,SGN
0.251889441,0.005903201,I1,ED-US,I1_s32-3,640,353,14143.5
0.591281125,0,I1,ED-US,I1_s32-6,20,353,14143.5
0,1,I1,ED-US,I1_s32-6,40,353,14143.5
0.05628004,0.933351804,I1,ED-US,I1_s34-3,20,367,14143.5
0.111389906,0.271331128,I1,ED-US,I1_s34-3,40,367,14143.5
0.049517005,0.967269844,I1,ED-US,I1_s34-3,80,367,14143.5
0.090344554,0.438482767,I1,ED-US,I1_s34-3,160,367,14143.5
0.035723679,0.995980714,I1,ED-US,I1_s34-3,320,367,14143.5
0.036167702,0.972839166,I1,ED-US,I1_s34-3,640,367,14143.5
0.457417467,4.97E-09,I4,ED-US,I4_s01-3a,20,218,21214.5
0.541750544,4.71E-13,I4,ED-US,I4_s01-3a,40,218,21214.5
0.43688983,2.27E-08,I4,ED-US,I4_s01-3a,80,218,21214.5
0.41825746,2.36E-08,I4,ED-US,I4_s01-3a,160,218,21214.5
0.325263068,1.41E-05,I4,ED-US,I4_s01-3a,320,218,21214.5
0.202404561,0.009799371,I4,ED-US,I4_s01-3a,640,218,21214.5
0.145224379,0.054692397,I4,ED-US,I4_s01-3b,20,218,21214.5
0.114343231,0.241470507,I4,ED-US,I4_s01-3b,40,218,21214.5
0.172921692,0.010049284,I4,ED-US,I4_s01-3b,80,218,21214.5
0.174670492,0.035969504,I4,ED-US,I4_s01-3b,160,218,21214.5
0.120797011,0.211741634,I4,ED-US,I4_s01-3b,320,218,21214.5
0.160923372,0.045031254,I4,ED-US,I4_s01-3b,640,218,21214.5
0.151804705,0.037632652,I4,ED-US,I4_s02-1,20,227,21214.5
0.173260977,0.009824333,I4,ED-US,I4_s02-1,40,227,21214.5
0.132937866,0.104372889,I4,ED-US,I4_s02-1,80,227,21214.5
0.158150495,0.025788972,I4,ED-US,I4_s02-1,160,227,21214.5
0.062924822,0.88331871,I4,ED-US,I4_s02-1,320,227,21214.5
0.033949349,0.979308011,I4,ED-US,I4_s02-1,640,227,21214.5
0.123960396,0.159950944,I4,ED-US,I4_s03-3,20,234,21214.5
0.107414468,0.315033935,I4,ED-US,I4_s03-3,40,234,21214.5
0.062909519,0.883453509,I4,ED-US,I4_s03-3,80,234,21214.5
0.181356924,0.005651657,I4,ED-US,I4_s03-3,160,234,21214.5
0.087066733,0.585926297,I4,ED-US,I4_s03-3,320,234,21214.5
0.096775009,0.413461515,I4,ED-US,I4_s03-3,640,234,21214.5
0.168450147,0.013487775,I4,ED-US,I4_s03-4,20,234,21214.5
0.102713343,0.37157531,I4,ED-US,I4_s03-4,40,234,21214.5
0.171730347,0.010877005,I4,ED-US,I4_s03-4,80,234,21214.5
0.201354116,0.001304896,I4,ED-US,I4_s03-4,160,234,21214.5
0.093580256,0.493501407,I4,ED-US,I4_s03-4,320,234,21214.5
0.098634686,0.394261014,I4,ED-US,I4_s03-4,640,234,21214.5
0.216003646,0.002040578,I4,ED-US,I4_s04-2,20,235,21214.5
0.250393701,0.000163137,I4,ED-US,I4_s04-2,40,235,21214.5
0.1222965,0.749554383,I4,ED-US,I4_s04-2,80,235,21214.5
0.081998896,0.768917642,I4,ED-US,I4_s04-2,160,235,21214.5
0.115929509,0.352191139,I4,ED-US,I4_s04-2,320,235,21214.5
0.027632562,0.995161745,I4,ED-US,I4_s04-2,640,235,21214.5
0,1,I4,ED-US,I4_s04-4,20,235,21214.5
0.156790552,0.067493167,I4,ED-US,I4_s04-4,40,235,21214.5
0,1,I4,ED-US,I4_s04-4,80,235,21214.5
0,1,I4,ED-US,I4_s04-4,160,235,21214.5
0.090909091,0.882402628,I4,ED-US,I4_s04-4,320,235,21214.5
0,1,I4,ED-US,I4_s04-4,640,235,21214.5
0.117888805,0.330883738,I4,ED-US,I4_s12-3,20,281,21214.5
0.200650255,0.217730142,I4,ED-US,I4_s12-3,40,281,21214.5
0.152743191,0.035624747,I4,ED-US,I4_s12-3,80,281,21214.5
0.071792124,0.869736092,I4,ED-US,I4_s12-3,160,281,21214.5
0,1,I4,ED-US,I4_s12-3,320,281,21214.5
0,1,I4,ED-US,I4_s12-3,640,281,21214.5
0.246000711,0.10789464,I4,ED-US,I4_s12-4,20,281,21214.5
0.130653853,0.116783791,I4,ED-US,I4_s12-4,40,281,21214.5
0.473159934,0.003950987,I4,ED-US,I4_s12-4,80,281,21214.5
0,1,I4,ED-US,I4_s12-4,160,281,21214.5
0,1,I4,ED-US,I4_s12-4,320,281,21214.5
0.105190704,0.330417272,I4,ED-US,I4_s12-4,640,281,21214.5
0.158737633,0.024881865,I4,ED-US,I4_s12-5,20,281,21214.5
0.063339018,0.879636238,I4,ED-US,I4_s12-5,40,281,21214.5
0.039410645,0.992150535,I4,ED-US,I4_s12-5,80,281,21214.5
0,1,I4,ED-US,I4_s12-5,160,281,21214.5
0.086665723,0.59164815,I4,ED-US,I4_s12-5,320,281,21214.5
0.045479195,0.931550228,I4,ED-US,I4_s12-5,640,281,21214.5
0.084155885,0.744365179,I4,ED-US,I4_s13-2,20,285,21214.5
0.112334222,0.393048926,I4,ED-US,I4_s13-2,40,285,21214.5
0.093463626,0.495133318,I4,ED-US,I4_s13-2,80,285,21214.5
0.137308617,0.162129807,I4,ED-US,I4_s13-2,160,285,21214.5
0.098480945,0.565509453,I4,ED-US,I4_s13-2,320,285,21214.5
0.081573733,0.679916825,I4,ED-US,I4_s13-2,640,285,21214.5
0.124775005,0.154127651,I4,ED-US,I4_s14-6,20,289,21214.5
